timestamp,strategy,week,llm_model,llm_developer,files_count,llm_p_tokens,llm_c_tokens,emb_p_tokens,cost_llm,cost_emb,total_cost,latency,entity,relation,call_count
2026-06-09T14:26:24.816976,SEPARATE MANUAL LOOP | 2026-q2-w01-d1       [1/13],Week 2026-q2-w01-d1,gemini,Google,1,56505,90944,46095,0.042028100000000006,0.006914249999999999,0.04894235,761.455,1384,243,10
2026-06-09T14:30:23.367819,SEPARATE MANUAL LOOP | 2026-q2-w02-d1       [2/13],Week 2026-q2-w02-d1,gemini,Google,1,65682,20001,16597,0.014568600000000001,0.00248955,0.01705815,235.423,1552,392,13
2026-06-09T14:35:00.694923,SEPARATE MANUAL LOOP | 2026-q2-w03-d1       [3/13],Week 2026-q2-w03-d1,gemini,Google,1,59214,25607,21529,0.016164200000000004,0.0032293499999999998,0.019393550000000002,274.237,1743,601,12
2026-06-09T14:36:54.835229,SEPARATE MANUAL LOOP | 2026-q2-w04-d1       [4/13],Week 2026-q2-w04-d1,gemini,Google,1,57288,19535,17961,0.013542800000000002,0.0026941499999999998,0.016236950000000003,111.035,1875,734,13
2026-06-09T14:40:51.235074,SEPARATE MANUAL LOOP | 2026-q2-w05-d1       [5/13],Week 2026-q2-w05-d1,gemini,Google,1,56755,20366,22264,0.013821900000000002,0.0033396,0.017161500000000003,233.26,2109,921,11
2026-06-09T14:44:38.880722,SEPARATE MANUAL LOOP | 2026-q2-w06-d1       [6/13],Week 2026-q2-w06-d1,gemini,Google,1,56604,19134,19030,0.013314000000000001,0.0028545,0.016168500000000002,224.52,2264,1075,13
2026-06-09T14:49:01.432806,SEPARATE MANUAL LOOP | 2026-q2-w07-d1       [7/13],Week 2026-q2-w07-d1,gemini,Google,1,64802,32530,27648,0.0194922,0.0041472,0.0236394,259.405,2511,1301,15
2026-06-09T14:51:35.356027,SEPARATE MANUAL LOOP | 2026-q2-w08-d1       [8/13],Week 2026-q2-w08-d1,gemini,Google,1,59986,18443,21538,0.0133758,0.0032307,0.0166065,150.78,2659,1415,16
2026-06-09T14:53:57.258565,SEPARATE MANUAL LOOP | 2026-q2-w09-d1       [9/13],Week 2026-q2-w09-d1,gemini,Google,1,66284,21362,22885,0.015173200000000001,0.00343275,0.018605950000000003,138.757,2800,1597,18
2026-06-09T14:59:49.383973,SEPARATE MANUAL LOOP | 2026-q2-w10-d1       [10/13],Week 2026-q2-w10-d1,gemini,Google,1,58660,29186,31342,0.0175404,0.004701299999999999,0.0222417,348.964,3023,1873,12
2026-06-09T15:01:35.336798,SEPARATE MANUAL LOOP | 2026-q2-w11-d1       [11/13],Week 2026-q2-w11-d1,gemini,Google,1,62111,18729,20352,0.013702700000000002,0.0030528,0.016755500000000003,102.8,3131,2007,16
2026-06-09T15:03:53.204722,SEPARATE MANUAL LOOP | 2026-q2-w12-d1       [12/13],Week 2026-q2-w12-d1,gemini,Google,1,60633,27249,24271,0.016962900000000003,0.00364065,0.02060355,134.659,3301,2127,16
2026-06-09T15:07:29.773415,SEPARATE MANUAL LOOP | 2026-q2-w13-d1       [13/13],Week 2026-q2-w13-d1,gemini,Google,1,63506,30680,36226,0.018622600000000003,0.005433899999999999,0.0240565,213.386,3563,2346,14
